,book,chapt,version,text
0,MAT,1,GUL,dis yah de people wa dey write down say been kin ta jedus christ fom way back ta abraham time
1,MAT,1,GUL,jedus come out fom king david fambly an king david come out fom abraham fambly
2,MAT,1,GUL,abraham been de fada ob isaac
3,MAT,1,GUL,isaac been de fada ob jacob
4,MAT,1,GUL,jacob been de fada ob judah an e broda dem
5,MAT,1,GUL,judah been de fada ob perez an zerah an dey modda been tamar
6,MAT,1,GUL,perez been de fada ob hezron
7,MAT,1,GUL,hezron been de fada ob ram
8,MAT,1,GUL,ram been de fada ob amminadab
9,MAT,1,GUL,amminadab been de fada ob nahshon
10,MAT,1,GUL,nahshon been de fada ob salmon
11,MAT,1,GUL,salmon been de fada ob boaz an e modda been rahab
12,MAT,1,GUL,boaz been de fada ob obed an e modda been ruth
13,MAT,1,GUL,obed been de fada ob jesse
14,MAT,1,GUL,jesse been de fada ob king david
15,MAT,1,GUL,david been de fada ob solomon an e modda been uriah wife
16,MAT,1,GUL,solomon been de fada ob rehoboam
17,MAT,1,GUL,rehoboam been de fada ob abijah
18,MAT,1,GUL,abijah been de fada ob asa
19,MAT,1,GUL,asa been de fada ob jehoshaphat
20,MAT,1,GUL,jehoshaphat been de fada ob joram
21,MAT,1,GUL,joram been de fada ob uzziah
22,MAT,1,GUL,uzziah been de fada ob jotham
23,MAT,1,GUL,jotham been de fada ob ahaz
24,MAT,1,GUL,ahaz been de fada ob hezekiah
25,MAT,1,GUL,hezekiah been de fada ob manasseh
26,MAT,1,GUL,manasseh been de fada ob amon
27,MAT,1,GUL,amon been de fada ob josiah
28,MAT,1,GUL,josiah been de fada ob jechoniah an e broda dem
29,MAT,1,GUL,dey been bon wen de people fom babylon come een pon de israel people an cyaa um off wid um ta babylon an pit um een slabery
30,MAT,1,GUL,atta dey enemy dem pit um een slabery an cyaa um off ta babylon shealtiel been bon
31,MAT,1,GUL,jechoniah been de fada ob shealtiel
32,MAT,1,GUL,shealtiel been de fada ob zerubbabel
33,MAT,1,GUL,zerubbabel been de fada ob abiud
34,MAT,1,GUL,abiud been de fada ob eliakim
35,MAT,1,GUL,eliakim been de fada ob azor
36,MAT,1,GUL,azor been de fada ob zadok
37,MAT,1,GUL,zadok been de fada ob achim
38,MAT,1,GUL,achim been de fada ob eliud
39,MAT,1,GUL,eliud been de fada ob eleazar
40,MAT,1,GUL,eleazar been de fada ob matthan
41,MAT,1,GUL,mattah been de fada ob jacob
42,MAT,1,GUL,jacob been de fada ob joseph
43,MAT,1,GUL,joseph been mary husban an jedus wa dey call christ been mary son
44,MAT,1,GUL,so den dey been foteen generation fom granfada ta granchile fom abraham time ta king david time
45,MAT,1,GUL,an dey been foteen generation fom king david time ta de time wen de people fom babylon pit um een slabery an cyaa um off ta babylon
46,MAT,1,GUL,an dey been foteen generation fom den ta de time wen jedus christ bon
47,MAT,1,GUL,now dis yah wa happen wen jedus christ bon
48,MAT,1,GUL,jedus modda mary been gage fa marry joseph
49,MAT,1,GUL,bot fo dey git marry an joseph cyaa um fa lib wid um dey find out dat mary been speckin
50,MAT,1,GUL,an dat been de powa ob de holy sperit wa mek dat happen
51,MAT,1,GUL,now joseph wa been gage fa marry mary e been a man wa waak scraight wid god an e ain been wahn fa see mary come ta no open shame
52,MAT,1,GUL,so joseph mek op e mind fa paat wid mary an keep um hush op
53,MAT,1,GUL,e beena study haad bout wa e gwine do wen de lawd sen a angel ta um een a dream
54,MAT,1,GUL,de angel tell um say joseph ya wa come out fom king david fambly mus dohn be scaid fa marry mary
55,MAT,1,GUL,cause de chile wa e speckin dat wa de holy sperit mek happen
56,MAT,1,GUL,e gwine hab son an ya mus gim de name jedus cause e gwine sabe e people fom dey sin
57,MAT,1,GUL,now all dis happen so dat wa de lawd done tell de prophet say gwine happen e happen fa true
58,MAT,1,GUL,e say one nyoung ooman dat ain neba know no man e gwine be wid chile
59,MAT,1,GUL,e gwine hab son an dey gwine call de chile emmanuel
60,MAT,1,GUL,dat mean fa say god right yah wid we so wen joseph wake op e done wa de lawd angel chaage um fa do
61,MAT,1,GUL,bot joseph neba tetch mary til e done hab e son
62,MAT,1,GUL,an joseph name de chile jedus
63,MAT,2,GUL,now jedus been bon een betlem town een judea jurin de same time wen herod been king
64,MAT,2,GUL,atta jedus been bon some wise man dem dat study bout de staa dem come ta jerusalem fom weh dey been een de east
65,MAT,2,GUL,an dey aks say weh de chile da wa bon fa be de jew people king
66,MAT,2,GUL,we beena see de staa wa tell bout um een de east an we come fa woshup um op
67,MAT,2,GUL,wen king herod yeh dat e been opsot fa true
68,MAT,2,GUL,an ebrybody een jerusalem been opsot too
69,MAT,2,GUL,e call togeda all de leada dem ob de jew priest dem an de jew law teacha dem
70,MAT,2,GUL,weh de messiah gwine be bon at
71,MAT,2,GUL,dey tell king herod say e gwine be bon een betlem town een judea
72,MAT,2,GUL,cause de prophet write say betlem een judah lan ya sompin fa sho mongst dem oda town dey een judah
73,MAT,2,GUL,cause one ob ya people gwine be a big rula
74,MAT,2,GUL,e gwine rule oba me israel people same like a shephud da lead e sheep
75,MAT,2,GUL,so king herod sen fa de man dem dat done come fom de east fa meet wid um bot e ain tell nobody bout de meetin
76,MAT,2,GUL,den herod aks dem man fa tell um de zact time wen dey fus see dat staa
77,MAT,2,GUL,e tell um say oona mus go ta betlem an look roun good fa de chile
78,MAT,2,GUL,wen oona find um mus come back an leh me know so dat a kin go mesef fa woshup um op too
79,MAT,2,GUL,atta dem man yeh wa de king say dey gone on an dey see de same staa dat dey beena see wen dey been back een de east
80,MAT,2,GUL,dey folla dat staa til dey git ta de place weh de chile been an den dat staa ain gone no foda
